,Loss Disc Real,Loss Disc Fake,Mean Disc Real,Mean Disc Fake,Loss Gen,Mean Disc Fake (Gen Training)
0,0.0018787661101669073,0.0028458673041313887,0.9981381297111511,0.0028401054441928864,7.024333953857422,0.0010761560406535864
1,0.002960178069770336,0.007773932069540024,0.9971113204956055,0.007697033695876598,6.596096992492676,0.0024724456015974283
2,0.022371893748641014,0.000878769438713789,0.9801644086837769,0.0008778838673606515,8.272234916687012,0.00048706430243328214
3,0.0024611663538962603,0.000592431053519249,0.9977478981018066,0.0005906237638555467,10.4468994140625,0.00013465316442307085
4,0.012615951709449291,0.01532985270023346,0.9895405769348145,0.014775391668081284,6.1724348068237305,0.005892911460250616
5,0.015947993844747543,0.020010903477668762,0.9846973419189453,0.019289515912532806,5.712061882019043,0.008962505497038364
6,0.002442725468426943,0.12183047831058502,0.9976508617401123,0.0980849415063858,4.785221576690674,0.028903765603899956
7,0.1301569640636444,0.010701492428779602,0.9012378454208374,0.01040620170533657,5.562849998474121,0.014876514673233032
8,0.10976716130971909,0.0977344959974289,0.9154525995254517,0.07552042603492737,4.129169940948486,0.05705013498663902
9,0.12149500101804733,0.05647498369216919,0.899817168712616,0.05212647467851639,3.284456968307495,0.08152898401021957
10,0.059482425451278687,0.0857739970088005,0.9494678974151611,0.07677032798528671,2.3855795860290527,0.14474260807037354
11,0.029222410172224045,0.12426643073558807,0.973254382610321,0.1045403927564621,3.171715497970581,0.09299503266811371
12,0.11215176433324814,0.08528167009353638,0.905547022819519,0.07267116010189056,4.767264366149902,0.023093661293387413
13,0.10009551048278809,0.06821021437644958,0.9206908941268921,0.05741773173213005,3.604503631591797,0.061283089220523834
14,0.029318703338503838,0.09502353519201279,0.9715604782104492,0.08181654661893845,3.1685519218444824,0.08108256012201309
15,0.013390122912824154,0.2532113492488861,0.9868354201316833,0.1954333782196045,1.4180397987365723,0.33142489194869995
16,0.5466141700744629,0.0392085537314415,0.6323583722114563,0.03617524355649948,2.339113235473633,0.1591394990682602
17,0.14604437351226807,0.026407530531287193,0.8820793032646179,0.025088559836149216,3.9349112510681152,0.05080129951238632
18,0.15815326571464539,0.07407182455062866,0.8656715154647827,0.06274190545082092,2.1921613216400146,0.18122068047523499
19,0.06582139432430267,0.10408955812454224,0.9425719976425171,0.09067408740520477,3.852490186691284,0.043183114379644394
20,0.13116320967674255,0.03440307080745697,0.8900398015975952,0.03294580802321434,5.01379919052124,0.012324957177042961
21,0.4082221984863281,0.1624448597431183,0.7091987133026123,0.13003216683864594,1.4318296909332275,0.3134493827819824
22,0.1385287344455719,0.09422338008880615,0.8787314295768738,0.08362004160881042,4.256487846374512,0.02990097366273403
23,0.2734357714653015,0.03538064286112785,0.7945113182067871,0.03388679772615433,3.031446933746338,0.08523114025592804
24,0.04455376788973808,0.04225953668355942,0.9583978056907654,0.039760470390319824,3.4085795879364014,0.06144104525446892
25,0.1413087546825409,0.0807911679148674,0.8759683966636658,0.07464741170406342,3.0675368309020996,0.07489965111017227
26,0.11532312631607056,0.3669689893722534,0.8969852328300476,0.260612815618515,2.6824445724487305,0.12610554695129395
27,0.106272391974926,0.48542746901512146,0.9056603908538818,0.3347436785697937,2.7133357524871826,0.11146637052297592
28,0.611174464225769,0.03569355234503746,0.6187218427658081,0.0336838997900486,3.368767738342285,0.0709366425871849
29,0.038110386580228806,0.14489150047302246,0.9639081954956055,0.12211744487285614,2.788975477218628,0.1053365021944046
30,0.07191144675016403,0.11134535074234009,0.9369811415672302,0.09889677166938782,3.463703155517578,0.05436932295560837
31,0.045811038464307785,0.08769574016332626,0.9593812823295593,0.07980761677026749,4.136209011077881,0.027966465801000595
32,0.4680076539516449,0.05254734680056572,0.6758069396018982,0.04882121831178665,2.723304510116577,0.11811886727809906
33,0.2893223166465759,0.05887177586555481,0.7858386039733887,0.05323623865842819,3.2633273601531982,0.07328516244888306
34,0.1122063398361206,0.07461170852184296,0.9095140695571899,0.06381121277809143,4.732906341552734,0.024034693837165833
35,0.038352128118276596,0.2692946791648865,0.9643802642822266,0.20833216607570648,1.960506796836853,0.2155223786830902
36,0.3085765540599823,0.06993625313043594,0.7638916373252869,0.06341879814863205,2.8308424949645996,0.10418694466352463
37,0.1251733899116516,0.10191380977630615,0.8932384252548218,0.08446839451789856,4.337737560272217,0.03142014890909195
38,0.18251606822013855,0.03388179466128349,0.8474947810173035,0.0320369154214859,4.168893337249756,0.03594154492020607
39,0.008140899240970612,0.6194031834602356,0.9919894933700562,0.3972986936569214,2.167900562286377,0.17428937554359436
40,0.050731997936964035,0.08398451656103134,0.9530944228172302,0.0763634443283081,1.944481611251831,0.21634134650230408
41,0.034324754029512405,0.21425263583660126,0.9679567217826843,0.16650089621543884,2.8106632232666016,0.10649403184652328
42,0.15390312671661377,0.09454827010631561,0.8678971529006958,0.0826580747961998,4.205065727233887,0.03013112209737301
43,0.1681331843137741,0.035611189901828766,0.8591291904449463,0.03357506915926933,5.04425048828125,0.016040444374084473
44,0.10762262344360352,0.045828044414520264,0.9091390371322632,0.04124803841114044,4.371610164642334,0.035596102476119995
45,0.06712862104177475,0.02316257916390896,0.9391137957572937,0.02226097695529461,3.5074164867401123,0.06619782745838165
46,0.21978232264518738,0.05021223425865173,0.8224110007286072,0.04089998081326485,3.3145081996917725,0.08035613596439362
47,0.16544783115386963,0.06345944106578827,0.8604578971862793,0.056770823895931244,3.7298190593719482,0.048932790756225586
48,0.058912187814712524,0.09781917184591293,0.9474871158599854,0.08577193319797516,4.520362854003906,0.027489153668284416
49,0.03171568736433983,0.13364174962043762,0.970103919506073,0.10890787839889526,3.6819369792938232,0.0522984080016613
50,0.013501724228262901,0.21514731645584106,0.9869306087493896,0.1747342050075531,2.992130756378174,0.08818217366933823
51,0.009653795510530472,0.30424773693084717,0.9906937479972839,0.22178936004638672,2.342522144317627,0.1750989854335785
52,0.02931368350982666,0.05162820219993591,0.9726120829582214,0.04818900674581528,4.132525444030762,0.04440748691558838
53,0.0019003007328137755,0.31397733092308044,0.998105525970459,0.2303304672241211,2.1399104595184326,0.19242843985557556
54,0.11901064962148666,0.09420018643140793,0.8955920934677124,0.081612728536129,3.4639804363250732,0.07226510345935822
55,0.06926701962947845,0.11124269664287567,0.9361340403556824,0.09804810583591461,3.439535140991211,0.057142458856105804
56,0.15570922195911407,0.12256713956594467,0.8713473081588745,0.1015317440032959,2.365450620651245,0.1640539914369583
57,1.1373553276062012,0.0007499481434933841,0.4307710826396942,0.0007488827686756849,6.633692741394043,0.003033355576917529
58,0.05517752096056938,0.3292566239833832,0.9498968124389648,0.22681483626365662,2.9425888061523438,0.10637974739074707
59,0.13990837335586548,0.0491735003888607,0.8787491321563721,0.044609855860471725,3.2703452110290527,0.0829339325428009
60,0.0012069671647623181,0.9466953277587891,0.9987961649894714,0.5062052011489868,4.408965110778809,0.030402204021811485
61,0.13234059512615204,0.06780250370502472,0.8835450410842896,0.06095893308520317,3.2008237838745117,0.08602915704250336
62,0.02930653654038906,0.13419704139232635,0.9718379378318787,0.10569214820861816,4.799210071563721,0.028275996446609497
