,Loss Critic Real,Loss Critic Fake,Loss Critic Gradient Penalty,Loss Gen
0,-13.74885082244873,-19.705154418945312,0.605299711227417,19.93062973022461
1,-19.642520904541016,-23.209814071655273,0.29931753873825073,23.2427978515625
2,-21.070655822753906,-24.208507537841797,0.32261696457862854,24.92987823486328
3,-22.438858032226562,-25.1472225189209,0.2601305842399597,25.84503746032715
4,-21.19779396057129,-23.294830322265625,0.1673503816127777,23.97951889038086
5,-20.400989532470703,-23.12967300415039,0.19111023843288422,23.536693572998047
6,-21.596263885498047,-23.50893783569336,0.22660332918167114,23.986799240112305
7,-21.78491973876953,-23.87481689453125,0.10312001407146454,24.073585510253906
8,-19.520389556884766,-21.355377197265625,0.08521224558353424,21.45479965209961
9,-19.94784927368164,-22.157268524169922,0.16096386313438416,22.312408447265625
10,-17.924118041992188,-20.528759002685547,0.22240307927131653,20.62443733215332
11,-19.79871940612793,-21.908794403076172,0.14146077632904053,22.114543914794922
12,-19.585721969604492,-21.227153778076172,0.15725596249103546,21.62777328491211
13,-20.54920196533203,-22.64236831665039,0.18157871067523956,22.889333724975586
14,-19.339109420776367,-21.232372283935547,0.11905290186405182,21.450286865234375
15,-17.050003051757812,-18.62368392944336,0.11798209697008133,19.120887756347656
16,-16.413345336914062,-18.276473999023438,0.2076612412929535,18.558345794677734
17,-16.354026794433594,-18.24849510192871,0.07769346982240677,18.473482131958008
18,-18.30348777770996,-20.154441833496094,0.0948290154337883,20.34250259399414
19,-15.39045524597168,-17.27930450439453,0.11619111895561218,17.688507080078125
20,-15.384035110473633,-16.938749313354492,0.1494627743959427,17.23175811767578
21,-15.013400077819824,-16.685583114624023,0.07119125872850418,16.91850471496582
22,-16.935455322265625,-18.42182159423828,0.0956539437174797,18.711734771728516
23,-14.68371868133545,-16.234390258789062,0.09354890137910843,16.824127197265625
24,-14.699117660522461,-16.211158752441406,0.10418766736984253,16.636938095092773
