y_mean,x_mean,y_min,y_max,x_min,x_max,source_size
8.165829145728644,364.51633165829145,0.0,35.0,325.0,401.0,796.0
6.848184818481848,527.9438943894389,0.0,26.0,505.0,548.0,303.0
0.7777777777777778,972.5,0.0,12.0,959.0,986.0,18.0
2.516431924882629,2110.1267605633802,0.0,16.0,2082.0,2139.0,213.0
7.59349593495935,2255.60162601626,0.0,27.0,2237.0,2273.0,246.0
2.358490566037736,3006.8867924528304,0.0,16.0,2992.0,3021.0,53.0
3.9541284403669725,3669.394495412844,0.0,19.0,3653.0,3685.0,109.0
0.0,4889.5,0.0,10.0,4878.0,4901.0,4.0
0.8095238095238095,5089.0,0.0,12.0,5075.0,5103.0,21.0
28.783036377134373,6513.823311061618,0.0,74.0,6456.0,6574.0,5388.0
5.846376811594203,6673.08115942029,0.0,24.0,6647.0,6696.0,345.0
2.5294117647058822,7883.35294117647,0.0,16.0,7869.0,7897.0,51.0
15.299159663865547,8046.640336134454,0.0,37.0,8020.0,8072.0,595.0
2.8518518518518516,8848.555555555555,0.0,17.0,8830.0,8867.0,108.0
7.859375,10527.10546875,0.0,26.0,10509.0,10545.0,256.0
16.03872053872054,10560.971380471381,0.0,42.0,10540.0,10582.0,594.0
16.60952380952381,10947.920952380953,0.0,50.0,10920.0,10980.0,1050.0
7.505454545454546,10998.694545454546,0.0,29.0,10972.0,11030.0,550.0
18.326570680628272,11081.366492146597,0.0,48.0,11048.0,11115.0,1528.0
1.3333333333333333,11257.619047619048,0.0,13.0,11245.0,11270.0,21.0
3.1925925925925926,11794.792592592592,0.0,18.0,11776.0,11815.0,135.0
5.333333333333333,4182.111111111111,0.0,19.0,4168.0,4196.0,63.0
4.0,6583.35294117647,0.0,17.0,6571.0,6596.0,34.0
5.267605633802817,11669.957746478873,0.0,20.0,11656.0,11684.0,71.0
11.702127659574469,4060.982269503546,0.0,31.0,4042.0,4080.0,282.0
5.528301886792453,8877.075471698114,0.0,19.0,8863.0,8891.0,53.0
4.0,1721.0,0.0,15.0,1710.0,1732.0,9.0
8.215189873417721,1930.0189873417721,0.0,24.0,1912.0,1948.0,158.0
8.372727272727273,8308.418181818182,0.0,24.0,8293.0,8324.0,110.0
14.205394190871369,9533.219917012448,0.0,35.0,9511.0,9556.0,482.0
13.845070422535212,5892.704225352113,0.0,29.0,5879.0,5906.0,71.0
15.0,7710.170212765957,0.0,31.0,7696.0,7724.0,94.0
15.859649122807017,7084.938596491228,0.0,32.0,7070.0,7100.0,114.0
21.57857142857143,5667.267857142857,1.0,42.0,5650.0,5685.0,280.0
11.5,11374.5,1.0,22.0,11364.0,11385.0,4.0
15.56140350877193,2747.8245614035086,2.0,29.0,2734.0,2762.0,57.0
20.180124223602483,2833.4347826086955,3.0,37.0,2817.0,2850.0,161.0
21.378947368421052,1155.657894736842,4.0,38.0,1138.0,1173.0,190.0
20.004651162790697,1250.8511627906976,4.0,36.0,1230.0,1271.0,215.0
23.41991341991342,1723.6450216450216,4.0,43.0,1706.0,1741.0,231.0
33.48395061728395,6238.297942386831,4.0,63.0,6205.0,6270.0,1215.0
17.833333333333332,10499.277777777777,6.0,30.0,10487.0,10511.0,18.0
63.51922322479404,3837.742448018831,7.0,118.0,3777.0,3900.0,5098.0
26.91566265060241,10851.366265060242,7.0,47.0,10829.0,10874.0,415.0
22.836363636363636,10878.9,7.0,39.0,10864.0,10894.0,110.0
28.267002518891687,2200.2443324937026,9.0,49.0,2175.0,2223.0,397.0
24.384615384615383,11046.615384615385,12.0,37.0,11034.0,11059.0,26.0
29.434782608695652,5563.757763975155,13.0,46.0,5547.0,5581.0,161.0
29.058252427184467,5646.291262135922,14.0,44.0,5631.0,5662.0,103.0
30.357142857142858,2265.542857142857,15.0,45.0,2252.0,2279.0,70.0
31.01769911504425,8079.367256637168,15.0,46.0,8057.0,8104.0,226.0
26.0,543.0,16.0,36.0,533.0,553.0,1.0
31.47787610619469,5856.29203539823,16.0,47.0,5841.0,5872.0,113.0
38.68852459016394,3473.94262295082,20.0,56.0,3455.0,3495.0,244.0
35.58974358974359,9125.115384615385,20.0,52.0,9108.0,9142.0,156.0
33.80952380952381,10147.07142857143,21.0,47.0,10134.0,10160.0,42.0
33.5,3501.5,23.0,44.0,3491.0,3512.0,4.0
33.5,10588.5,23.0,44.0,10578.0,10599.0,4.0
72.3837169357609,2013.4139470972175,24.0,121.0,1970.0,2058.0,2911.0
38.72857142857143,4146.857142857143,24.0,53.0,4133.0,4161.0,70.0
63.069878242456326,5983.095288512441,24.0,100.0,5936.0,6022.0,1889.0
43.33673469387755,6095.974489795918,25.0,62.0,6079.0,6112.0,196.0
49.94170403587444,6640.020179372197,27.0,74.0,6620.0,6661.0,446.0
37.5,7544.0,27.0,48.0,7534.0,7554.0,2.0
38.53333333333333,8185.866666666667,27.0,50.0,8174.0,8198.0,15.0
50.11515151515152,11805.718181818182,29.0,72.0,11787.0,11824.0,330.0
47.53191489361702,80.29255319148936,30.0,65.0,63.0,98.0,188.0
55.888888888888886,11024.865384615385,30.0,81.0,11005.0,11044.0,468.0
42.5,1159.7142857142858,31.0,54.0,1148.0,1171.0,14.0
73.36966624419095,2800.9480354879593,31.0,115.0,2767.0,2835.0,2367.0
49.738197424892704,438.5579399141631,32.0,67.0,420.0,457.0,233.0
49.25,639.156862745098,32.0,67.0,621.0,657.0,204.0
53.7037037037037,8047.736111111111,32.0,74.0,8031.0,8063.0,216.0
65.24378881987577,7885.732919254659,36.0,93.0,7865.0,7906.0,644.0
